input,output,A,B,C,D,source
2019 年 4 月 10 日晚 9 点，全球多国科研人员合作的“事件视界望远镜”项目在全球六地同步举行新闻发布会，发布了世界上首张黑洞图像，公布了人类首次拍到的黑洞照片，这 是继 2015 年人类通过引力波视测“听到”两个“黑洞”合体之后，证明黑洞存在的直接“视界” 证据。有科学家认为，这张看起来有点模糊的照片意义非凡，它再次验证了爱因斯坦广义相 对论的预言是对的，并将进一步帮助科学家解答星系演化等一系列宇宙本质问题。人类首次 “看到”黑洞正面照表明( ),AB,空间的性质依赖于物质的分布及其运动状态  ,世界是物质的统一体,物质世界的客观存在与人的实践和认识水平有关  ,空间的观念随着人的认识发展而拓展,2020UnifiedNationalGraduateEntranceExamination
2019 年 10 月 24 日，中共中央政治局就区块链技术发展现状和趋势进行集体学习。习近平在主持学习时指出， 我们要提高运用和管理区块链技术能力，使区块链技术在建设网络强国、发展数字经济、助力经济社会发展等方面发挥更大作用”。有专家认为，基于区块链技术，人们可以构建在没有中介辅助下多个参与方之间的资产交易、价值传递的网络，通过建立执行智能合约，推动契约关系和规则的维护和履行，降低信用建立成本，营造良好市场环境。区块链技术所实现的人与人之间相互联系的延伸和变化，表明人们的现实社会关系( ),BC,一种单纯的经济和商业关系 ,具有多样性和复杂性的特征 ,归根到底受生产关系的制约 ,由信息技术构造的虚拟关系,2020UnifiedNationalGraduateEntranceExamination
一方水土孕育一方文化。很早以前，人们就在平原、高原、山地、河谷，海域等广阔的地理空间发展出农耕、渔猎、游牧等不同经济形态，进而形成具有明显地域差别的文化。高 铁、互联网等虽然极大消除了不同地域空间之间的界限，加速地域文化的同质性转化，但地 域文化并没有消失，还在持续对当代社会发展产生重要影响。“一方水土孕育一方文化“表明,AD,社会经济状况决定文化发展形态  ,自然地理空间影响文化的外在特征 ,文化是人类社会发展的决定力量,不同形态文化的发展具有相对独立性,2020UnifiedNationalGraduateEntranceExamination
资本循环是资本实现价值增殖的重要前提。所谓资本循环，是指资本从一种形式出发， 经过一系列形式的变化，又回到原来出发点的运动，产业资本循环过程中在空间上同时存在 的资本形式有( ),ACD,生产资本 ,借贷资本 ,货币资本 ,商品资本,2020UnifiedNationalGraduateEntranceExamination
为了加强对各国垄断资本的协调和制约。第二次世界大战后，国际垄断资本建立了国际货币基金组织，世界银行和世界贸易组织等国际经济机构。这些国际经济机构在协调和合作 的基础上促进了经济全球化的发展，主要表现在(),ABD,加强了各国和各经济体之间的联系  ,推动了商品和服务贸易的迅速增加  ,有效应对全球性经济波动和经济危机 ,加快了资本和技术等要素的国际流动,2020UnifiedNationalGraduateEntranceExamination
中国特色社会主义进入新时代，人民群众的新期特内容更广泛。不仅关注“有没有”，更关性“好不好”;不仅包括既有的物质文化需求，更包括在此基础上衍生出来的获得感。幸福 感、安全感及尊严、权利等新需求。这一变化表明( ),ACD,我国社会主要矛盾发生了历史性变化 ,我国已经满足了人民“从有到优”的需求, 人民群众对日益增长的物质文化需要出现了阶段性新特征, 我国不平衡不充分的发展已成为制约满足人民需要的主要保障,2020UnifiedNationalGraduateEntranceExamination
深圳经济特区是我国改革开放的排头兵和重要窗口。2019 年 8 月，中共中央、国务院印发《关于支持深圳建设中国特色社会主义先行示范区的意见》，要求深圳建设成为高质量发展高地，法治城市示范，城市文明典范，民生幸福标杆，可持续发展先锋。支持深圳建设中 国特色社会主义先行示范区，有利于( ),ABC,更好实施粤港澳大湾区战略，丰富“一国两制”事业发展新实践  ,在更高起点，更高层次，更高目标上推进改革开放,率先探索全面建设社会主义现代化国家新路径  ,破解制约建成小康社会重点难点问题,2020UnifiedNationalGraduateEntranceExamination
消除贫困，改善民生，逐步实现共同富裕，是社会主义的本质要求，是我们党的重要使命，新中国成立 70 余年，我国已有 7 亿多人摆脱贫困，占全球减贫人口的 70%以上，中国是第一个完成联合国千年发展目标中减贫目标的发展中国家，也是唯一一个实现了经济较快 增长，与大规模减贫同步，综合国力增强与人民生活水平提高同步，这一历史跨越的发展中国家。进入新时代，为了确保到 2020 年现行标准下农村贫困人口实现脱贫，贫困县全部摘帽的目标，我国的重要举措是( ),ABCD, 坚持精准扶贫，精准脱贫, 强化党政一把手负总责的责任制 ,注重扶贫同扶志扶智相结合,重点攻克深度贫困地区脱贫任务,2020UnifiedNationalGraduateEntranceExamination
从 1956 年我国建立第一个自然保护区鼎湖保护区，到目前全国已拥有了 2750 个自然保护区，面积 147 万平方公里，约占陆域国土面积 15%，自党的十八届三中全会决定“建立国家公园体制”以来，涉及 12 个省，总面积约为 22.29 万平方公里，我国建立以国家公园为主体的自然保护地体系的意义是( ),ABCD, 推进自然生态保护，建立美丽新中国, 保护重要的自然生态系统和独特的自然遗产 ,促进人与自然和谐共生,维护国家生态安全,2020UnifiedNationalGraduateEntranceExamination
止暴制乱、恢复秩序是香港当前最紧迫的任务。贯彻落实“一国两制”方针，绝不能允许触碰的原则底线是( ),ACD, 危害国家主权安全, 干扰内地与香港的民间交流, 挑战中央权力与香港特别行政区基本法权威 ,利用香港对内地进行渗透破坏,2020UnifiedNationalGraduateEntranceExamination
