input,output,A,B,C,D,source
"恩格斯于 1820 年 11 月 28 日出生在德国巴门市的一个工厂主家庭。他称自己一生所做的事就是“拉第二小提琴""。  恩格斯不仅与马克思一起创立马克思主 义，参加并指导国际工人运动，而且在传播和发展马克思主义方面作出了杰出的贡献。恩格斯全面阐述马克思主义理论体系的著作是(  )",C,《共产党宣言》,家庭、私有制和国家的起源,《反杜林论》,《自然辩证法》,2020UnifiedNationalGraduateEntranceExamination
逐渐“飞入寻常百姓家”的人工智能对人类的社会生活产生了巨大影响，对此，技术乐观派 认为人工智能为人类发展更新了“发动机”，悲观派则认为人工智能的发展可能导致“人类的终结“。对人工智能社会效用的评价是( ),D,对客观事物发展规律的真理性评价 ,对主体需要发展程度的认知性评价, 受主体情感、兴趣和爱好影响的主观性评价, 对客观事物的属性及其满足主体需要的价值性评价,2020UnifiedNationalGraduateEntranceExamination
在相同的劳动时间里，复杂劳动创造的价值大于简单劳动创造的价值。在以私有制为基础 的商品经济条件下，复杂劳动转化为简单劳动( ),D,是商品生产者自觉计算出来的  ,是市场管理部门事先规定的 ,是商品生产者协商出来的,是商品交换过程中市场机制自发实现的,2020UnifiedNationalGraduateEntranceExamination
十月革命之前，列宁总结当时变化了的新情况，得出“社会主义可能首先在少数甚至在单独一个资本主文国家内获得胜利”的结论。列宁得出这个结论的理论依据是( ),A,资本主义经济和政治发展不平衡规律 ,资本主义国家的不断衰落,科学社会主义理论的广泛传播 ,无产阶级力量的不断壮大,2020UnifiedNationalGraduateEntranceExamination
“什么是社会主义?怎样建设社会主义?”是邓小平在领导改革开放的现代化建设这一 新的革命过程中，不断提出和反复思考的、首要的基本理论问题，搞清楚这一问题的关键是,C, 在认清基本国情的基础上，进一步把握我国社会主义的发展阶段, 在正确分析我国社会主义矛盾的基础上，进一步明确社会主义的根本任务  ,在坚持我国社会主义基本制度的基础上，进一步揭示社会 主义的本质,在总结我国社会主义历史经验的基础上，进一步揭示社会主义社会发展的一-般规律,2020UnifiedNationalGraduateEntranceExamination
实体经济是一国经济的立身之本和财富之源，是国家强盛的重要支撑，党的十九大报告指 出，建设现代化经济体系必须着力发展实体经济，全面提升实体经济发展水平，我国全面提 升实体经济的重点是( ),A, 加快发展先进制造业, 深化要素市场化配置改革 ,加大人力资本培育力度.  ,持续推进“三去一降一补”,2020UnifiedNationalGraduateEntranceExamination
2019 年 9 月 20 日，习近平在中央政协工作会议暨庆祝中国人民政治协商会议成立 70 周年大会上的讲话中，提出了新时代加强和改进人民政协工作的总体要求，指出新时代做好人民 政协工作的中心环节是(),B,提高政治协商、民主监督、参政议政水平  ,加强思想政治引领，广泛凝聚共识,发挥好人民政协专门协商机构作用 ,强化政协委员责任担当,2020UnifiedNationalGraduateEntranceExamination
1979 年 1 月 1 日，全国人民代表大会常务委员会发表《告台湾同胞书》，郑重宣示争取祖国和平统一的大政方针，揭开了两岸关系发展新的历史篇章。2019 年 1 月 2 日，习近平在《告台湾同胞书》发表 40 周年纪念会上的讲话中指出:“在一个中国原则基础上，台湾任何政党、团体同我们的交往都不存在障碍。以对话取代对抗、以合作取代争斗、以双赢取代零和，两岸关系才能行稳致远。”影响两岸关系行稳致远的总根子是( ),B,两岸对历史现状缺乏认同 ,两岸长期存在的政治分歧 ,“台独”分裂势力的存在  ,外部势力的干涉,2020UnifiedNationalGraduateEntranceExamination
近代以来中华民族面临着争取民族独立、人民解放和实现国家富强、人民富裕两大历史任 务。近代中国的历史表明，要争得民族独立和人民解放，必须首先( ),D,发展教育提高国民素质  ,废除封建地主土地所有制 ,改变经济技术落后的面貌,进行反帝反封建的民主革命,2020UnifiedNationalGraduateEntranceExamination
1905 年至 1907 年间，资产阶级革命派和改良派进行了一场大论战 ，双方论战的焦点是,A,要不要以革命手段推翻清王朝 ,要不要推翻帝制实行共和, 要不要社会革命, 要不要发动广大民众,2020UnifiedNationalGraduateEntranceExamination
中国共产党一经成立，中国革命就展现了新的面貌。不久中国共产党就开始采取民族资产阶级，小资产阶级的政党和政治派别没有采取过也不可能采取的路线，即( ),B,土地革命的方法 ,群众路线的方法 ,统一战线的方法 ,武装斗争的方法,2020UnifiedNationalGraduateEntranceExamination
1956 年社会主义改造基本完成。随着中国建立了社会主义基本政治制度， 社会主义基本经济制度也建立起来。中国社会主义基本制度的建立，标志着( ),A,进入了全面建设社会主义的历史阶段 ,半殖民地半封建社会结束,社会主义工业化已经初步实现 ,新民主主义革命基本胜利,2020UnifiedNationalGraduateEntranceExamination
全面推进依法治国，涉及立法、执法、司法、守法等各个方面，涉及中国特色社会主义事业“五位一体” 总体布局的各个领域，必须加强顶层设计、统筹谋划，在实际工作中必须有一个总揽全局、 牵引各方的总抓手。全面依法治国的总抓手是( ),B, 依法治国和以德治国相结合,建设中国特色社会主义法治体系 ,坚持有法可依有法必依...,坚持科学立法严格执法...,2020UnifiedNationalGraduateEntranceExamination
习近平在纪念五四运动 100 周年大会上的讲话中指出:“爱国主义是我们民族精神的核心， 是中华民族团结奋斗、自强不息的精神纽带。”“对每一个中国人来说，爱国是本分，也是职责，是心之所系、情之所归。对新时代中国青年来说，热爱祖国是立身之本、成才之基。” 当代中国爱国主义的本质就是( ),A,坚持爱国和爱党、爱社会主义高度统一 ,维护社会和谐和民族平等的统一,对民族和文化的归属感、认同感的统一,坚持立足民族和面向世界的统一,2020UnifiedNationalGraduateEntranceExamination
2019 年 11 月，中共中央、国务院印发的《新时代爱国主义教育实施纲要》指出，爱国主义是中华民族的民族心、民族魂，是中华民族最重要的精神财富，是中国人民和中华民族维护民族独立和民族尊严的强大精神动力。新时代爱国主义教育要面向全体人民、聚焦青少年。 当前，对青少年进行爱国主义教育的主阵地是( ),C,手机和互联网 ,精品读物,思想政治理论课  ,传统节日纪念活动,2020UnifiedNationalGraduateEntranceExamination
2019 年 8 月 2 日，美国宣布正式退出《中导条约》(全称《苏联和美国消除两国中程和中短程导弹条约》)。其真实原因是( ),C, 俄罗斯首先违约, 谋求全球战略平衡与稳定  ,自我松绑谋求绝对军事优势,其他国家不受条约限制,2020UnifiedNationalGraduateEntranceExamination
马克思和恩格斯首次系统阐述历史唯物主义基本观点的著作,A,德意志意识形态,神圣家族, 哲学的贫困, 共产党宣言,2021UnifiedNationalGraduateEntranceExamination
人们能从历史中汲取经验教训是因为,B,历史规律和自然规律有惊人的相似,人类历史发展存在着不以人的意志为转移的规律,历史总是在循环往复中不断向前发展,人类已经完全掌握了历史发展的内在替身,2021UnifiedNationalGraduateEntranceExamination
从社会意识和社会存在的关系看，法律法规,C,总是阻碍新技术的健康发展, 只能落后于新技术发展, 与新技术发展具有不平衡性, 归根到底是新技术发展的内在动力,2021UnifiedNationalGraduateEntranceExamination
马克思指出：资本主义在发展“社会劳动的生产力”的同时进而不自觉的创造着一种更高级的生产形式的物质条件，这表明：,D, 资本主义生产方式能够无限制解放和发展社会生产力,资本越发展越有利于巩固资本主义, 资本越扩张越不利于创造更多的物质财富, 资本主义生产是一种历史的、过渡性生产形式,2021UnifiedNationalGraduateEntranceExamination
毛泽东思想作为马克思主义中国化的第一个重大理论成果，是由一系列相互联系的重要理论观点所构成的科学思想体系这一科学体系所围绕的主题是,A,中国革命和建设,中国命运和前途,中国社会性质和阶段状况,中国改革和发展,2021UnifiedNationalGraduateEntranceExamination
构建新发展格局，是以习近平同志为核心的党中央积极应对国际国内形势变化，与时俱进提升我国经济发展水平，塑造国际经济全球和竞争新优势提出的战略决策，这一发展格局是,C,以体制机制创新为主体，利用好国际国内两个市场,以维护和平稳定为主体，促进国际国内经济复苏,以国内大循环为主体，国内国际双循环相互促进,以发展先进制造业为主体，促进产业结构优化升级,2021UnifiedNationalGraduateEntranceExamination
改革开放初期，确立了公有制为主体的市场经济，多种所有制公共发展，按劳分配为主体，多种分配制度并存，社会市场经济制度等社会主义基本经济制度，这一基本经济制度中，坚持公有制的主体地位是因为,C,公有制是社会主义市场经济的重要组成部分,公有制是我国经济社会发展的重要基础, 生产资料所有制决定社会的基本性质和发展方向, 由生产资料所有制决定的分配方式能使一切社会成员实现全面发展,2021UnifiedNationalGraduateEntranceExamination
创新是引领发展的第一动力，必须把创新摆在现代化建设全面的核心地位。2020 年 9 月 11 日，习近平在《科学家座谈上讲话》中指出我国经济发展及改善民生比以往任何时候都需要加强创新这个第一动力，创造更多从“0”  到“1”的突破，需要摆在更加突出位置的是,A, 提升原始创新能力, 加快推进消化吸收再创新,加强了企业创新主体地位,改善科技创新,2021UnifiedNationalGraduateEntranceExamination
洋务运动时期，洋务派兴办了一些企业少数官办或官商合办，多数是官督商办， 这些官督商办的企业是什么性质?,C,封建性质企业,半封建, 资本, 社会性质,2021UnifiedNationalGraduateEntranceExamination
中国人民抗战胜利的关键是,D,民族意识的觉醒与全民的抗战,反侵压战争的正义性与进步性,世界反法西斯力量的团结与支持,中国共产党中流砥柱的作用,2021UnifiedNationalGraduateEntranceExamination
人民政协的召开标志着,D, 民族区域自治制度的建立, 工商代表大会制度的建立, 人民代表大会制度的建立,新型政协制度的建立,2021UnifiedNationalGraduateEntranceExamination
我国对资本主义工商业的社会主义改造执行的是,C,互助合作政策,调整巩固,和平赎买,剥夺没收,2021UnifiedNationalGraduateEntranceExamination
个人与社会的关系最根本的是,B,个人价值与社会价值, 个人利益与社会利益, 个人理想与社会理想,个人存在与社会存在,2021UnifiedNationalGraduateEntranceExamination
新时代爱国主义教育的着力点是,C,坚持实现中华民族伟大复兴的中国梦,坚持依法治国和以德治国相结合,坚持祖国统一和民族团结,坚持立足中国又面向世界,2021UnifiedNationalGraduateEntranceExamination
北斗三号全球卫星导航系统建成并开通服务，标志着,B, 我国卫星导航系统实现了零的突破, 我国成为世界上第三个独立拥有全球卫星导航系统的国家,世界所有国家都已使用我国北斗导航系统,我国全球卫星导航系统重设实现了第二步目标,2021UnifiedNationalGraduateEntranceExamination
2020 年全球服务服装贸易会于 9 月 4 日-9 日在北京成功举办。本届服贸会的主题是∶,D,文化融合，创新发展,开放包容，团结合作,齐心协力，携手前行,全球服务，互惠共享,2021UnifiedNationalGraduateEntranceExamination
中国共产党坚持马克思上义基本原理，坚持实事求是，从中国实际出发，洞察时代大势，把握历史主动，进行艰辛探索，不断推进马克思主义中国化时代化，指导人民不断推进伟大社会革命。习近平总书记指出，“中国共产党为什么能，由特色社会主义为什么好，归根到底是因为马克思主义行！”马克思主义之所以行的根本原因在于,C,马克思主义具有鲜明的政治立场,马克思主义具有自觉的历史担当,马克思主义是科学的世界观和方法论,马克思主义是无产阶级政党自我革命的武器,2022UnifiedNationalGraduateEntranceExamination
党的十八大以来，我国从中西部22个省份有劳动能力的建档立卡贫困人口中选聘了110.2万名生态护林员，走出了一条生态补偿脱贫的新路子，实现了生态保护和脱贫增收“双赢”，充分体现了“人不负青山，青山定不负人”的深刻哲理。“人不负青山，青山定不负人”表明,B,人与自然是同一的，自然能够自发满足人的要求,生产力包括自然要素，合理开发自然能促进社会发展,人是自然的一部分，人的发展只能适应自然的变化,人能动改造自然，自然能动补偿人的劳动,2022UnifiedNationalGraduateEntranceExamination
马克思在《资本论》中指出∶“一个商品占有者出售他现有的商品，而另一个商品占有者却只是作为货币的代表或作为未来货币的代表来购买这种商品。卖者成为债权人，买者成为债务人。由于商品的形态变化或商品的价值形式的发展在这里起了变化，货币也就取得了另一种职能。”这里所论述的货币“另一种职能”指的是,D,价值尺度,流通手段,贮藏手段,支付手段,2022UnifiedNationalGraduateEntranceExamination
与第二次世界大战前的资本主义相比，当代资本主义在许多方面已经并正在发生着深刻的变化，当代资本主义社会，大公司经营活动的实际控制者是,A,高级职业经理,股东大会,监事会,董事长,2022UnifiedNationalGraduateEntranceExamination
共同富裕是社会主义的本质要求，是中国式现代化的重要特征，党的十九届五中全会对扎实推动共同富裕作出了重大战略部署，明确提出了推进共同富裕的2035年远景目标。这一目标是,B,全体人民共同富裕基本实现,全体人民共同富裕取得更为明显的实质性进展,全体人民共同富裕全面实现,全面发展全体人民共同富裕同步实现,2022UnifiedNationalGraduateEntranceExamination
